,loss,mae,calculate_ssim,calculate_psnr,val_loss,val_mae,val_calculate_ssim,val_calculate_psnr,lr
0,7816.4267578125,0.4059070944786072,3.491658926010132,7.205719470977783,7264.55126953125,0.41690731048583984,7.940526485443115,7.1840105056762695,0.001
1,6671.18603515625,0.40403732657432556,6.177501201629639,7.413900375366211,6564.6875,0.41650399565696716,7.539736270904541,7.201713562011719,0.001
2,6173.98779296875,0.39883953332901,7.465260028839111,7.565608501434326,6270.28515625,0.4019206762313843,8.167223930358887,7.5068230628967285,0.001
3,5760.70068359375,0.3949422538280487,8.480826377868652,7.672250747680664,6009.0263671875,0.40581807494163513,8.822068214416504,7.4473395347595215,0.001
4,5374.37841796875,0.39264896512031555,9.217598915100098,7.741261005401611,6009.4794921875,0.41532015800476074,9.19255542755127,7.255363464355469,0.001
5,5010.6767578125,0.39103591442108154,9.744446754455566,7.789815902709961,5028.61328125,0.3908371329307556,9.834501266479492,7.7806549072265625,0.001
6,4637.7353515625,0.38938918709754944,10.215777397155762,7.837588310241699,4758.17626953125,0.3871069848537445,10.802536010742188,7.881988525390625,0.001
7,4292.85986328125,0.387044221162796,10.957474708557129,7.904904842376709,4452.7666015625,0.38917088508605957,11.434364318847656,7.832851409912109,0.001
8,3933.201904296875,0.384445458650589,11.345854759216309,7.972630977630615,4062.9111328125,0.38389578461647034,11.731012344360352,7.962249279022217,0.001
9,3605.224365234375,0.3816796839237213,11.570560455322266,8.038311004638672,3801.092529296875,0.38582369685173035,11.730005264282227,7.9293694496154785,0.001
10,3288.802490234375,0.3802413046360016,11.69141674041748,8.0747652053833,3419.6982421875,0.37697136402130127,12.331277847290039,8.12205696105957,0.001
11,3002.424560546875,0.37811312079429626,11.879190444946289,8.12672233581543,3241.738037109375,0.3761183023452759,12.104650497436523,8.128446578979492,0.001
12,2750.083251953125,0.3753145933151245,12.004843711853027,8.188979148864746,2946.71484375,0.3699135482311249,12.471903800964355,8.294001579284668,0.001
13,2527.788818359375,0.3739696145057678,12.150996208190918,8.223514556884766,2896.29345703125,0.3789445161819458,12.22666072845459,8.08374309539795,0.001
14,2348.777099609375,0.37189316749572754,12.262474060058594,8.274930000305176,2674.419677734375,0.3737165629863739,12.25532341003418,8.2062406539917,0.001
15,2191.98095703125,0.36906570196151733,12.349607467651367,8.337974548339844,2590.427734375,0.371072918176651,12.317124366760254,8.250253677368164,0.001
16,2072.607177734375,0.3663642704486847,12.480896949768066,8.401569366455078,2469.49755859375,0.36830630898475647,12.66828441619873,8.32579231262207,0.001
17,1985.6927490234375,0.36446142196655273,12.592453002929688,8.448346138000488,2554.240966796875,0.3735547363758087,12.355745315551758,8.19043254852295,0.001
18,1918.74755859375,0.3619905114173889,12.677249908447266,8.507594108581543,2273.15185546875,0.35729339718818665,12.989872932434082,8.58514404296875,0.001
19,1860.2080078125,0.3593367636203766,12.788288116455078,8.567410469055176,2326.62744140625,0.3622179627418518,12.604056358337402,8.468389511108398,0.001
20,1820.892822265625,0.3564763367176056,12.894211769104004,8.63433837890625,2232.114501953125,0.3595907688140869,12.73491382598877,8.531728744506836,0.001
21,1793.6168212890625,0.354927122592926,12.931318283081055,8.674007415771484,2322.36376953125,0.3646208345890045,12.804388046264648,8.419333457946777,0.001
22,1754.3587646484375,0.3513752520084381,13.102030754089355,8.757612228393555,2236.943359375,0.3572819232940674,12.958924293518066,8.590214729309082,0.001
23,1736.5404052734375,0.34898748993873596,13.157121658325195,8.816008567810059,2270.98779296875,0.3559377193450928,12.930696487426758,8.609964370727539,0.001
24,1711.3392333984375,0.34654587507247925,13.250404357910156,8.875147819519043,2344.229248046875,0.35604387521743774,12.888476371765137,8.603982925415039,0.001
25,1699.2711181640625,0.34315431118011475,13.375060081481934,8.960489273071289,2288.0048828125,0.34811824560165405,13.028130531311035,8.796274185180664,0.001
26,1671.321533203125,0.3406313955783844,13.435446739196777,9.020489692687988,2227.65283203125,0.34358176589012146,13.381951332092285,8.910947799682617,0.001
27,1655.2486572265625,0.3361737132072449,13.598716735839844,9.130306243896484,2308.416748046875,0.3477880358695984,13.03262996673584,8.789748191833496,0.001
28,1645.9788818359375,0.3335420489311218,13.708320617675781,9.197749137878418,2220.9033203125,0.339099258184433,13.46735668182373,9.013086318969727,0.001
29,1628.029541015625,0.3303709626197815,13.807602882385254,9.27793025970459,2194.280517578125,0.3325643241405487,13.51242733001709,9.184744834899902,0.001
30,1606.887451171875,0.32670000195503235,13.909826278686523,9.373458862304688,2183.20751953125,0.3257778286933899,13.840929985046387,9.364401817321777,0.001
31,1596.86572265625,0.322711318731308,14.015046119689941,9.475714683532715,2217.912109375,0.332578182220459,13.422309875488281,9.169746398925781,0.001
32,1576.45849609375,0.3195289969444275,14.179762840270996,9.560724258422852,2211.616943359375,0.32251450419425964,13.940407752990723,9.440171241760254,0.001
33,1569.6763916015625,0.3161107897758484,14.27182674407959,9.652955055236816,2115.546630859375,0.31327274441719055,14.299214363098145,9.6925048828125,0.001
34,1553.743408203125,0.3121519982814789,14.398205757141113,9.758100509643555,2145.866943359375,0.30658018589019775,14.421968460083008,9.869105339050293,0.001
35,1546.6448974609375,0.30659225583076477,14.603665351867676,9.907896041870117,2130.81201171875,0.30319494009017944,14.663923263549805,9.964761734008789,0.001
36,1538.9384765625,0.30163735151290894,14.763287544250488,10.044766426086426,2226.570068359375,0.3032491207122803,14.609211921691895,9.948501586914062,0.001
37,1525.603271484375,0.296736478805542,14.969191551208496,10.184061050415039,2117.022216796875,0.29497426748275757,14.872841835021973,10.180893898010254,0.001
38,1508.245361328125,0.2924903333187103,15.088714599609375,10.304767608642578,2148.0361328125,0.2949123978614807,14.954728126525879,10.182114601135254,0.001
39,1505.642333984375,0.2874944508075714,15.231788635253906,10.447463035583496,2195.6611328125,0.2898048758506775,15.139979362487793,10.325839042663574,0.001
40,1493.51611328125,0.28136056661605835,15.48109245300293,10.627360343933105,2115.823974609375,0.2836562395095825,15.436605453491211,10.532979011535645,0.001
41,1483.7611083984375,0.27686405181884766,15.664101600646973,10.762256622314453,2139.08447265625,0.27660831809043884,15.604240417480469,10.700157165527344,0.001
42,1475.2279052734375,0.26997530460357666,15.922764778137207,10.9697265625,2105.83154296875,0.2685069143772125,15.761385917663574,10.972187995910645,0.001
43,1468.8883056640625,0.2639493942260742,16.18062400817871,11.158984184265137,2190.534423828125,0.265144944190979,16.059497833251953,11.04851245880127,0.001
44,1462.5667724609375,0.2559073269367218,16.477888107299805,11.417010307312012,2198.2578125,0.2510058581829071,16.703420639038086,11.482451438903809,0.001
45,1444.0709228515625,0.2480795830488205,16.838319778442383,11.674761772155762,2124.912109375,0.24383683502674103,16.9471378326416,11.758648872375488,0.001
